country_name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Libya,1.139,0.217,1.2,0.837,0.892,0.684,0.663,0.745,0.759,0.784,0.67,1.988,0.782,0.699,1.151,1.211,0.685,1.587,0.265,1.646,0.822
Liechtenstein,0.966,1.449,1.43,1.381,1.672,0.896,0.661,0.96,1.935,1.39,1.404,0.475,1.653,1.607,0.92,2.239,2.043,2.022,1.782,2.252,2.054
Lithuania,1.484,2.019,1.798,1.908,0.173,0.869,1.195,0.91,2.182,2.21,1.385,0.723,0.914,1.323,0.926,2.196,2.063,1.913,1.511,2.395,2.601
Luxembourg,Unknown,1.636,1.412,1.369,1.67,0.994,1.112,1.338,1.923,1.262,1.168,0.303,1.321,1.244,0.553,2.452,1.498,1.849,1.622,2.447,2.143
"Madagascar, Rep. of",0.401,0.383,0.561,0.545,0.607,0.405,0.61,0.739,0.625,0.441,0.797,1.055,0.956,0.726,0.629,0.686,0.976,0.921,1.206,0.861,1.328
Malawi,0.352,0.815,0.668,0.851,1.027,0.892,1.474,1.014,1.101,0.539,0.705,0.996,0.717,0.942,0.68,1.013,1.054,1.442,1.35,1.038,1.115
Malaysia,0.42,0.405,0.638,0.765,0.771,0.692,0.891,0.628,0.686,0.571,0.785,0.985,0.614,0.787,1.001,1.028,1.218,1.661,1.185,1.184,1.446
Maldives,0.28,0.243,0.431,0.586,0.483,0.348,0.798,0.337,0.379,0.174,0.5,0.635,0.509,0.518,0.603,0.704,0.858,0.918,0.798,0.762,1.088
Mali,0.433,0.723,0.642,1.309,1.327,1.281,1.466,1.155,0.994,0.616,1.032,1.725,1.298,0.486,1.054,0.932,1.182,1.261,1.524,1.197,1.267
Malta,1.246,1.034,1.642,0.91,1.387,0.691,0.706,1.033,1.425,1.299,1.112,1.287,1.067,1.417,1.328,1.472,1.455,1.721,1.22,1.417,1.243
"Marshall Islands, Rep. of the",-0.192,-0.077,0.246,0.406,0.372,0.512,0.443,0.371,0.376,0.128,0.331,0.502,0.312,0.695,0.661,0.72,0.617,0.926,0.724,0.51,0.718
Martinique,0.503,0.322,0.533,0.694,0.902,0.562,0.865,0.747,0.852,0.413,0.568,1.221,0.65,0.754,0.767,0.727,0.973,1.133,0.899,0.651,0.786
"Mauritania, Islamic Rep. of",0.492,1.133,1.276,1.259,1.278,1.385,1.304,1.347,0.968,1.254,0.845,1.905,1.549,0.854,1.414,1.326,1.381,1.702,2.101,1.122,1.469
Mauritius,0.103,0.02,0.381,0.28,0.571,0.191,0.261,0.171,0.362,0.088,0.718,1.012,0.826,0.603,0.688,0.724,1.058,0.971,1.21,0.913,1.308
Mayotte,0.27,0.233,0.387,0.839,0.512,0.386,0.521,0.317,0.746,0.327,0.512,0.755,0.492,0.425,0.282,0.478,0.703,0.607,0.848,0.632,1.17
Mexico,0.611,0.586,0.505,0.677,0.827,0.305,0.743,0.877,0.434,0.505,1.029,0.246,0.973,0.882,0.723,0.827,1.089,1.278,1.547,1.167,1.307
"Micronesia, Federated States of",0.092,0.229,0.374,0.199,0.284,0.401,0.265,0.269,0.207,-0.047,0.072,0.252,0.12,0.533,0.678,0.515,0.545,0.92,0.851,0.726,0.791
"Moldova, Rep. of",0.921,1.484,1.697,1.438,-0.197,0.72,0.873,0.287,2.387,1.545,1.779,1.331,0.451,2.052,1.325,1.399,1.943,2.023,1.349,2.02,2.336
Monaco,0.882,1.063,1.34,0.861,1.584,0.779,0.699,1.06,1.519,0.967,1.327,0.305,1.25,1.242,0.569,1.645,1.719,1.576,1.762,1.729,1.7
Mongolia,1.775,0.991,1.697,1.803,0.515,1.773,0.959,1.231,2.739,1.771,1.41,0.325,0.773,0.246,1.027,1.867,2.129,1.392,2.486,2.214,1.849
Montenegro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.535,1.781,1.339,1.297,1.267,1.036,1.712,1.515,1.605,1.779,1.558,1.364,2.317,1.923
Montserrat,0.611,0.384,Unknown,0.681,0.9,0.566,0.864,0.561,0.847,0.303,0.482,1.147,0.576,0.682,0.766,0.723,1.032,1.105,0.965,0.694,0.806
Morocco,1.099,0.956,1.84,1.194,1.685,1.119,1.27,1.472,1.013,1.151,1.251,2.117,1.789,1.393,1.311,1.711,1.24,1.968,2.276,0.685,1.578
"Mozambique, Rep. of",0.276,0.351,0.492,0.625,0.641,0.492,1.072,0.505,0.619,0.302,0.478,0.871,0.622,0.641,0.394,0.616,0.911,1.141,0.806,0.723,1.079
Myanmar,0.815,0.11,0.563,0.647,0.644,0.587,0.906,0.773,0.456,0.463,0.898,1.188,0.508,0.878,0.94,0.799,1.115,1.339,1.28,1.024,1.691
Namibia,1.016,0.144,0.576,1.104,1.45,1.077,0.982,-0.019,0.894,0.918,0.725,1.594,0.013,0.429,1.376,1.039,1.706,2.051,1.463,2.053,2.713
"Nauru, Rep. of",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Nepal,0.583,0.045,0.419,0.496,0.272,0.391,0.747,0.876,0.714,0.335,1.189,1.214,0.308,0.493,0.281,0.437,0.677,1.19,1.214,0.742,0.746
"Netherlands, The",1.569,1.587,1.259,1.517,1.196,1.15,1.241,1.494,2.061,1.42,1.213,0.088,1.056,1.135,0.414,2.548,1.269,1.914,1.704,2.11,2.116
New Caledonia,0.774,0.26,0.492,0.502,0.282,0.393,0.241,0.139,0.613,0.603,0.375,0.709,0.465,0.341,0.497,0.486,0.685,1.381,1.165,0.809,0.749
New Zealand,1.018,0.276,0.584,0.43,0.246,0.043,0.449,0.395,0.258,0.553,0.054,0.59,0.658,0.093,0.932,0.475,0.497,1.13,0.549,1.095,1.041
Nicaragua,0.011,0.054,0.436,0.726,0.586,0.501,0.789,0.613,0.761,0.492,0.737,0.748,0.605,0.654,1.232,0.768,0.984,1.28,0.984,0.847,1.105
Niger,0.717,0.879,0.37,0.732,0.985,0.732,1.361,1.366,1.069,0.486,1.51,1.754,1.167,0.797,1.017,1.204,1.083,1.247,1.08,1.256,1.151
Nigeria,0.827,0.598,0.315,0.841,0.884,0.801,1.271,1.297,0.906,0.672,1.399,1.515,0.949,0.613,0.985,1.056,1.234,1.206,1.191,1.089,1.243
Niue,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Norfolk Island,Unknown,-0.227,0.25,0.166,0.045,0.294,0.326,0.208,Unknown,Unknown,0.358,0.62,0.721,0.251,0.303,0.145,0.682,1.2,0.867,0.851,0.817
"North Macedonia, Republic of ",0.614,1.096,1.604,0.372,0.654,0.383,0.181,0.41,1.575,1.183,1.065,1.394,0.763,1.486,1.482,1.357,1.54,1.739,1.174,2.187,1.967
Norway,1.277,1.447,0.633,1.403,1.117,1.314,1.785,1.525,1.713,1.641,1.409,-0.32,1.428,1.084,0.815,2.441,1.818,1.745,1.578,1.51,1.231
Oman,0.728,0.679,0.732,0.872,0.881,0.825,0.91,0.955,0.766,0.648,0.846,1.223,0.999,0.919,0.658,0.735,1.417,1.118,1.589,1.282,1.032
Pakistan,0.846,0.698,0.752,0.984,0.493,1.018,0.233,1.057,0.71,0.412,1.048,1.283,0.831,0.242,0.81,0.42,0.576,1.281,1.312,1.423,0.648
"Palau, Rep. of",0.565,0.553,Unknown,Unknown,0.502,0.775,0.611,0.654,0.754,Unknown,0.663,0.613,0.59,0.789,0.907,0.963,1.226,1.291,1.162,1.236,Unknown
Panama,-0.249,-0.02,0.361,0.661,0.695,0.479,0.509,0.55,0.461,0.248,0.767,0.784,0.393,0.792,0.912,0.703,1.009,0.917,0.711,1.071,1.239
Papua New Guinea,0.396,0.482,0.625,0.706,0.677,0.248,0.685,0.293,0.436,0.41,0.321,1.05,0.454,0.32,0.791,0.369,0.234,1.198,0.943,0.711,0.696
Paraguay,0.062,0.102,0.526,0.913,0.615,0.272,0.383,0.765,0.106,0.104,0.754,0.213,0.455,0.707,0.228,1.027,1.376,0.096,1.019,0.408,1.176
Peru,0.383,0.46,0.506,0.778,0.733,0.675,0.789,0.776,0.559,0.584,0.851,1.078,0.774,0.824,0.608,0.785,1.197,1.338,0.889,0.685,0.952
Philippines,0.451,0.581,0.727,0.624,0.702,0.586,0.671,0.716,0.754,0.423,0.578,0.925,0.479,0.779,0.914,0.775,0.964,1.422,1.05,1.076,1.151
Pitcairn Islands,Unknown,0.438,0.195,0.534,-0.12,-0.516,-0.287,0.473,0.048,-0.033,-0.195,-0.003,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"Poland, Rep. of",1.196,1.878,1.277,1.692,0.356,0.769,0.866,0.817,2.127,1.73,1.248,0.372,0.736,1.355,0.622,2.32,1.97,2.01,1.433,2.392,2.615
Portugal,0.561,0.613,1.12,0.622,1.405,0.972,0.941,1.498,0.717,0.602,1.381,1.094,1.577,0.767,0.905,1.308,1.362,1.677,2.115,0.863,1.25
Puerto Rico,0.679,0.28,0.773,0.884,1.002,0.547,0.847,0.737,0.988,0.45,0.661,1.177,0.574,0.788,0.79,0.926,1.159,1.304,1.044,0.904,1.054
Qatar,1.697,0.938,0.964,1.441,1.163,1.206,0.817,1.625,0.953,1.125,1.073,1.917,1.402,1.332,1.186,1.575,2.005,1.504,1.868,1.981,1.819
Romania,0.624,1.341,1.532,1.214,0.14,0.552,0.295,0.516,2.116,1.331,1.609,1.154,0.482,1.815,1.366,1.548,1.798,1.883,1.165,2.278,2.266
Russian Federation,0.411,1.317,0.81,1.583,0.985,1.394,1.699,0.546,2.483,2.213,1.182,0.871,1.695,1.926,1.16,1.749,2.241,2.454,2.125,2.04,2.181
Rwanda,Unknown,Unknown,0.467,0.862,1.081,0.935,Unknown,Unknown,1.395,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Saint Helena,1.174,1.256,0.999,1.129,1.242,1.133,1.101,1.249,0.893,1.065,1.431,1.241,1.288,0.916,1.191,1.074,1.352,1.434,1.322,1.337,1.509
Saint Pierre and Miquelon,1.765,1.181,0.607,0.032,0.227,0.656,0.99,1.881,0.436,0.504,0.753,1.37,1.204,2.051,1.358,0.447,0.17,0.88,0.374,0.694,0.062
Samoa,0.167,0.585,0.862,1.11,0.64,0.132,0.766,0.356,0.806,0.362,Unknown,0.956,0.499,0.56,0.798,0.459,0.298,0.828,0.724,0.478,0.828
"San Marino, Rep. of",0.839,1.363,1.628,1.075,1.587,0.808,0.399,0.816,1.773,1.19,1.279,0.614,1.202,1.612,0.918,1.485,1.728,1.627,1.571,1.853,1.658
"São Tomé and Príncipe, Dem. Rep. of",0.995,0.526,0.364,0.787,1.04,0.869,0.778,0.857,1.087,0.81,1.014,1.034,0.708,0.783,0.83,0.887,0.808,1.506,1.23,0.946,1.341
Saudi Arabia,1.468,0.742,0.864,1.083,0.976,0.95,0.507,1.155,0.678,0.862,0.991,2.137,0.821,1.204,1.183,1.264,1.91,1.556,1.799,1.874,1.803
Senegal,0.618,0.956,1.176,1.452,1.158,1.132,1.347,1.351,1.208,1.292,0.688,1.418,1.151,0.83,1.172,1.143,1.267,1.649,1.867,1.064,1.492
"Serbia, Rep. of",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.588,1.926,1.371,1.403,1.207,0.768,1.725,1.45,1.641,1.79,1.758,1.339,2.381,2.159
Seychelles,0.161,0.241,0.605,0.404,0.604,0.282,0.505,0.492,0.825,0.392,0.605,0.831,0.741,0.738,0.585,0.698,0.988,0.908,1.008,0.742,1.17
Sierra Leone,0.481,Unknown,0.849,1.013,0.75,0.963,1.129,1.044,0.74,1.134,0.742,1.22,1.03,0.365,0.929,0.903,1.089,1.047,1.652,1.169,1.522
Singapore,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Slovak Rep.,0.769,1.626,1.241,1.38,0.653,0.549,0.397,0.627,2.147,1.53,1.496,0.68,0.84,1.57,0.948,2.315,2.099,1.925,1.253,2.54,2.423
"Slovenia, Rep. of",0.885,1.8,1.724,1.525,1.46,0.765,0.517,0.904,2.205,1.612,1.667,0.808,1.391,1.967,1.27,2.474,2.171,2.091,1.765,2.452,2.367
Solomon Islands,0.238,0.52,Unknown,Unknown,0.438,0.398,0.627,0.377,0.583,Unknown,0.256,0.52,0.287,0.223,0.59,0.655,0.443,0.785,0.579,0.619,0.599
Somalia,0.496,0.536,0.955,0.948,1.18,0.566,1.141,0.924,1.078,0.72,1.426,1.221,1.159,1.15,1.252,1.298,1.616,1.45,1.752,0.807,1.677
South Africa,1.084,0.271,0.52,0.481,0.853,0.948,1.059,0.384,0.773,0.607,0.703,1.094,0.455,0.52,0.647,0.77,1.181,1.456,0.981,0.905,1.752
"South Sudan, Rep. of",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.346,0.906,1.17,0.782,0.99,1.149,1.114,0.98,0.774
Spain,0.741,0.742,1.344,0.743,1.529,0.927,0.824,1.459,0.767,0.8,1.286,0.835,1.539,0.958,0.818,1.517,1.432,1.642,1.973,1.069,1.446
Sri Lanka,0.487,0.595,0.854,1.009,0.922,0.842,0.916,0.679,0.665,0.581,0.815,1.177,0.85,1.0,0.958,1.052,1.065,1.441,1.157,0.888,1.338
St. Kitts and Nevis,0.611,0.384,Unknown,0.681,0.9,0.566,0.864,0.561,0.847,0.303,0.482,1.147,0.576,0.682,0.766,0.723,1.032,1.105,0.965,0.694,0.806
St. Lucia,0.532,0.364,0.584,0.629,0.867,0.515,0.91,0.706,0.704,0.4,0.5,1.18,0.656,0.643,0.789,0.67,0.949,1.069,0.929,0.659,0.871
St. Vincent and the Grenadines,0.598,0.447,0.663,0.58,0.885,0.434,0.933,0.637,0.585,0.434,0.449,1.166,0.661,0.565,0.806,0.686,0.914,0.977,0.969,0.629,0.879
Sudan,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.82,0.97,1.08,0.863,1.42,1.079,1.09,1.081,0.816
Suriname,0.529,0.495,0.532,0.766,0.999,1.026,1.307,0.845,0.853,0.94,1.235,1.322,0.887,0.96,1.296,1.357,1.395,1.887,1.564,1.374,1.645
Sweden,1.369,1.729,1.078,1.571,0.92,1.201,1.828,1.492,1.94,1.965,1.438,-0.274,1.278,1.322,0.863,2.711,2.081,1.85,1.593,1.849,1.572
Switzerland,0.969,1.409,1.437,1.247,1.837,0.961,0.796,1.082,1.798,1.19,1.359,0.433,1.649,1.486,0.753,2.128,1.925,1.806,1.781,2.285,2.042
Syrian Arab Rep.,1.286,0.673,1.166,0.879,0.556,0.665,0.258,1.05,0.823,1.073,0.705,2.495,0.691,1.076,1.342,1.147,1.316,1.836,1.191,2.436,1.624
Taiwan Province of China,0.691,0.389,0.744,0.889,0.832,0.399,0.622,0.679,0.747,0.542,0.73,0.482,0.021,0.309,0.616,0.702,0.746,1.056,1.415,1.189,1.407
"Tajikistan, Rep. of",1.152,1.027,1.488,1.25,0.526,1.308,0.789,1.565,1.202,0.948,0.824,1.326,1.481,0.007,1.285,0.539,1.329,1.864,1.397,1.702,1.431
"Tanzania, United Rep. of",-0.287,0.571,0.468,0.672,1.059,0.926,0.993,0.816,0.76,0.447,0.898,1.006,0.726,0.834,0.863,0.805,0.938,1.098,1.353,0.891,1.266
Thailand,0.462,0.088,0.69,0.698,0.835,0.571,0.912,0.709,0.576,0.43,0.529,1.321,0.289,0.95,1.161,0.744,1.269,1.562,1.131,0.888,1.774
"Timor-Leste, Dem. Rep. of",0.311,Unknown,Unknown,Unknown,0.64,0.706,1.306,0.395,0.638,0.351,0.785,0.989,0.024,Unknown,0.555,0.645,0.83,2.019,1.309,0.826,0.999
Togo,0.682,0.638,0.78,0.844,1.115,0.853,1.061,1.09,0.982,0.838,1.009,1.378,0.998,0.701,0.902,1.077,1.315,1.37,1.469,1.287,1.444
Tokelau,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tonga,0.202,0.355,0.637,0.735,0.36,0.416,0.54,0.321,0.601,0.056,0.127,0.672,0.366,0.455,0.586,0.433,0.48,1.004,0.797,0.612,1.032
Trinidad and Tobago,0.634,0.527,0.68,0.496,0.777,0.359,0.974,0.53,0.433,0.34,0.509,1.196,0.534,0.596,0.784,0.704,0.979,0.769,Unknown,0.623,1.224
Tunisia,1.722,0.99,1.969,1.231,1.707,0.942,1.075,1.297,1.418,1.408,0.905,1.821,1.095,1.68,1.544,1.88,1.204,1.901,1.377,1.505,1.317
Turkey,1.202,0.484,1.475,0.747,0.251,0.548,0.385,0.833,0.93,0.808,0.643,2.348,0.354,0.93,1.317,1.29,0.777,1.547,0.73,2.584,1.639
Turkmenistan,1.253,1.255,1.488,1.76,0.071,1.614,1.266,1.659,1.082,0.713,1.029,1.858,1.063,0.745,1.604,0.673,1.387,1.972,1.653,1.486,1.768
Turks and Caicos Islands,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Tuvalu,0.468,0.577,0.842,0.865,0.652,0.723,0.839,0.69,0.786,0.391,0.713,0.978,0.855,0.661,0.732,0.696,0.847,0.972,1.062,1.024,1.127
Uganda,0.109,0.345,0.457,0.909,0.877,0.564,0.966,0.558,0.09,0.717,1.153,1.304,1.115,0.709,0.764,0.799,0.828,0.926,1.395,0.701,1.227
Ukraine,1.157,1.425,1.795,1.539,-0.268,0.918,1.01,0.26,2.365,1.608,1.594,1.635,0.564,1.938,1.501,1.691,2.047,2.09,1.401,2.222,2.355
United Arab Emirates,1.351,0.72,0.592,1.137,1.046,1.011,0.679,1.211,0.757,0.717,0.862,1.456,1.133,1.095,0.756,0.935,1.561,1.08,1.666,1.53,1.247
United Kingdom,1.125,0.713,0.622,1.002,1.185,1.026,1.11,1.243,1.327,0.835,0.947,-0.054,0.847,0.574,0.373,1.739,0.629,1.175,1.437,1.012,1.247
United States,0.749,0.992,0.78,0.946,0.987,0.86,1.149,1.023,1.141,0.21,0.396,0.69,0.534,1.445,0.613,0.5,1.525,2.219,1.43,1.273,1.032
United States Virgin Islands,0.597,0.181,0.639,0.818,0.89,0.529,0.796,0.651,0.914,0.393,0.67,1.085,0.461,0.652,0.784,0.918,1.114,1.235,1.001,0.778,0.937
Uruguay,0.112,0.364,1.266,0.634,0.325,0.468,0.821,0.618,0.162,0.746,0.531,0.302,0.497,0.898,0.2,1.212,1.077,0.384,1.627,1.289,0.862
"Uzbekistan, Rep. of",1.321,1.411,1.578,1.852,0.157,1.942,1.387,1.586,1.392,0.721,1.078,1.8,1.061,0.691,1.537,0.193,1.422,2.293,1.787,1.034,1.93
Vanuatu,0.885,0.53,0.598,0.553,0.204,0.351,0.444,0.282,0.819,0.68,0.421,0.832,0.654,0.342,0.649,0.554,0.536,1.102,1.032,0.445,0.803
"Venezuela, Rep. Bolivariana de",0.203,0.151,0.482,0.686,0.765,0.514,0.758,0.545,0.624,0.396,0.714,1.139,0.484,0.436,0.857,0.806,1.174,1.141,0.752,0.808,1.171
Vietnam,0.804,0.182,0.728,0.757,1.127,0.482,0.907,0.969,0.597,0.293,0.76,1.176,0.196,0.818,0.992,0.638,1.327,1.283,1.213,0.905,1.864
Wallis and Futuna Islands,0.41,0.582,0.819,0.817,0.484,0.545,0.704,0.502,0.78,0.204,0.254,0.847,0.635,0.617,0.683,0.606,0.646,1.159,0.96,0.688,1.11
West Bank and Gaza,0.908,0.312,0.93,0.806,0.643,0.621,0.258,0.645,0.582,0.788,0.898,2.391,0.648,1.11,1.194,0.94,1.408,1.705,0.821,2.093,1.298
Western Sahara,0.935,0.865,1.255,1.179,1.349,1.47,1.092,1.317,0.851,1.355,0.895,1.819,1.432,1.234,1.282,1.244,1.277,1.636,2.078,0.851,1.43
World,0.787,0.732,0.833,1.018,0.89,0.908,1.09,0.982,1.181,0.92,0.944,1.205,0.907,1.058,1.007,1.042,1.406,1.658,1.424,1.284,1.449
"Yemen, Rep. of",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Zambia,0.418,0.311,0.501,0.956,1.159,0.801,1.339,0.61,1.075,0.446,0.577,1.481,0.965,0.926,0.746,0.638,1.486,1.474,0.721,0.727,1.295
Zimbabwe,0.09,-0.34,0.03,0.438,0.377,0.042,1.065,-0.346,0.038,0.016,-0.336,0.918,0.22,0.329,0.102,-0.008,0.808,1.051,0.116,0.405,0.939
